Inscricao,Nome,Renda
00001,icugov,R$736.24
00002,utine,R$4579.7
00003,afibudo,R$2173.8
00004,egiqefoc,R$4362.95
00005,ihapoqazu,R$2869.74
00006,imovex,R$2760.48
00007,edofuli,R$4039.91
00008,arilubuku,R$1019.65
00009,akerodusa,R$2791.12
00010,upem,R$2578.02
00011,obozek,R$1785.75
00012,ubenot,R$913.98
00013,ubigohon,R$3228.23
00014,epap,R$2481.75
00015,etamahetax,R$696.8
00016,emogolof,R$1065.24
00017,etovusenuc,R$3755.8
00018,iporute,R$2020.34
00019,efaqamani,R$3849.64
00020,ipimahi,R$2313.8
00021,alonik,R$2108.11
00022,ibolani,R$4847.91
00023,imiduz,R$3787.18
00024,urija,R$3258.77
00025,aqomiziqup,R$1669.84
00026,ujijaraq,R$2651.99
00027,edepexah,R$3740.72
00028,ulilovadij,R$4272.43
00029,omaku,R$4438.46
00030,osucutozik,R$4143.13
00031,ajehusixib,R$3347.82
00032,esuco,R$1681.75
00033,inizup,R$2455.47
00034,aquvisoxu,R$2850.32
00035,esoc,R$2967.22
00036,etur,R$1281.25
00037,ezuvilofiz,R$863.62
00038,oloz,R$2613.56
00039,avah,R$1634.93
00040,ugapiqaxih,R$2060.73
00041,osusuzidu,R$4366.05
00042,enomadun,R$1006.7
00043,inev,R$3878.47
00044,obisacoge,R$1131.85
00045,edenix,R$1665.63
00046,oxunatoqi,R$4313.15
00047,oqugo,R$788.32
00048,icamunun,R$2037.15
00049,iqetenu,R$2230.28
00050,uzisem,R$1937.83
00051,ubocemo,R$4910.8
00052,upub,R$911.76
00053,obasenu,R$2023.34
00054,ehocu,R$1611.31
00055,ozakedid,R$893.14
00056,ikapacuqor,R$4674.96
00057,imatajape,R$1125.58
00058,ezapanudaz,R$3126.4
00059,ebekoti,R$2617.67
00060,anabocap,R$2748.97
00061,ugosavuma,R$1551.73
00062,ecolafe,R$536.88
00063,anene,R$4236.45
00064,iduxaqo,R$2626.35
00065,egetub,R$852.52
00066,apihede,R$4171.51
00067,elek,R$2785.38
00068,icodeh,R$3226.09
00069,ekuzez,R$641.37
00070,upixace,R$2597.62
00071,oluxexu,R$3853.92
00072,aroq,R$1006.9
00073,isodarimo,R$1577.99
00074,avipaqoz,R$4265.79
00075,uhomixomit,R$4513.98
00076,enevuheri,R$3301.93
00077,ipuqepov,R$1557.41
00078,edaraxoxu,R$2261.08
00079,unifimatet,R$3283.43
00080,ahaso,R$3872.45
00081,evedetozi,R$2002.42
00082,osinelupu,R$3530.32
00083,aveg,R$2944.67
00084,ahusupe,R$4510.11
00085,unocireke,R$3217.54
00086,ulabomeku,R$1797.88
00087,ulicut,R$2656.68
00088,imuhivecal,R$2070.21
00089,iqopumoru,R$2939.06
00090,iquhagureg,R$2698.43
00091,abexa,R$3817.37
00092,anacequca,R$1842.39
00093,ovagano,R$1110.11
00094,adapu,R$1909.4
00095,ojisahok,R$734.23
00096,apoduhe,R$4454.53
00097,uvila,R$1680.09
00098,agixoz,R$3499.62
00099,uxoco,R$3967.58
00100,ogosuben,R$3634.83
00101,enusaqen,R$574.6
00102,efoha,R$4456.07
00103,iponadan,R$3953.54
00104,ihaduc,R$3516.76
00105,udabiseki,R$924.42
00106,ofacos,R$3380.11
00107,ugufek,R$793.96
00108,itiqo,R$4148.68
00109,okimuta,R$564.34
00110,ohiruqap,R$1321.42
00111,utaze,R$4942.27
00112,isahad,R$910.96
00113,atis,R$2371.62
00114,adunibaz,R$518.57
00115,ekutinaxe,R$2803.73
00116,afevog,R$4461.34
00117,ozurulipiq,R$1547.42
00118,atomit,R$3765.0
